@relation 'technicalDebt'

@attribute Text string
@attribute class-att {negative,positive}

@data

'todo could with more refactoring around argument handling and varargs ',positive
'todo single ise multiple elements ',positive
'for now just make new array todo optimize ',positive
'the above result likely incomplete only containing file system references need have pointers each the jar files the classpath well ',positive
'one error should not include delimiter ',positive
'todo this seems rather bogus should eagerly show error ',positive
'dont trust the jms provider might throw runtimeexception error ',positive
'remove corresponding bean from singleton cache any shouldnt usually necessary rather just meant for overriding contexts default beans ',positive
'will make throw runtimeexception spel will let this through ',positive
'todo this caching safe passing the expression around will mean this executor also being passed around ',positive
'further todo for compilation opminus with single literal operand could treated negative literal will save pointless loading and then subtract instruction code gen allow other accessorsresolvers participate compilation and create their own code typereference followed what ends static method invocation can really skip code gen for the typereference since once that used locate the method not used again the opeq implementation quite basic will compare numbers the same type allowing them their boxed unboxed variants compare object references does not compile expressions where numbers are different types when objects implement comparable compiled nodes typereference operatorinstanceof stringliteral nullliteral realliteral intliteral longliteral booleanliteral floatliteral opor opand operatornot ternary elvis variablereference oplt ople opgt opge opeq opne opplus opminus opmultiply opdivide methodreference indexer compoundexpression functionreference inlinelist opmodulus not yet compiled some may never need assign beanreference identifier opdec opbetween opmatches oppower opinc projection qualifiedid selection ',positive
'this hack able get the generated key from database that doesnt support get generated keys feature hsql one postgresql another postgres uses returning clause while hsql uses second query that has executed with the same connection ',positive
'workaround ',positive
'tests for pooling invoker interceptor todo need make these tests stronger its hard make too many assumptions about pool author rod johnson author rob harrop author chris beams author stephane nicoll ',positive
'this test bit fragile but gets the job done proving that attempt was made look the aspect its due classpath issues integrationtests that its not found ',positive
'todo refactor abstractbeanfactory tests for abstractbeanfactory ',positive
'spr detect hsql and stop illegal locks being taken todo against quartz this tests job doesnt actually execute anymore ',positive
'todo correct end position ',positive
'todo need special handling when patterns contain multiple dots ',positive
'todo this fails with npe due arraytoobject converter discuss with andy new arrayliststring new arrayliststring ',positive
'would nice partially match path and get any bound variables one step ',positive
'fixme inline ',positive
