TP, FN, FP, TN, P    , R    , F1   , ER   , RI
49, 52, 39, 2911, 0.557, 0.485, 0.519, 0.941, 15.820
775, 193, 192, 4265, 0.801, 0.801, 0.801, 0.777, 3.492
84, 43, 21, 3941, 0.800, 0.661, 0.724, 0.961, 24.757
25, 48, 20, 2491, 0.556, 0.342, 0.424, 0.949, 18.665
236, 140, 32, 2083, 0.881, 0.628, 0.733, 0.829, 4.834
62, 132, 36, 4413, 0.633, 0.320, 0.425, 0.934, 14.141
64, 36, 28, 2365, 0.696, 0.640, 0.667, 0.942, 16.343
193, 88, 48, 3818, 0.801, 0.687, 0.739, 0.915, 10.819
282, 100, 60, 3209, 0.825, 0.738, 0.779, 0.873, 6.881
109, 91, 52, 4220, 0.677, 0.545, 0.604, 0.934, 14.138
54, 30, 19, 1545, 0.740, 0.643, 0.688, 0.931, 13.513
202, 118, 131, 2872, 0.607, 0.631, 0.619, 0.841, 5.299
177, 71, 92, 4094, 0.658, 0.714, 0.685, 0.915, 10.764
692, 353, 541, 27753, 0.561, 0.662, 0.608, 0.937, 14.757
81, 54, 32, 1051, 0.717, 0.600, 0.653, 0.845, 5.467
404, 213, 177, 14238, 0.695, 0.655, 0.674, 0.941, 15.941
59, 38, 99, 7515, 0.373, 0.608, 0.463, 0.966, 28.685
54, 37, 56, 3491, 0.491, 0.593, 0.537, 0.949, 18.626
195, 91, 165, 11766, 0.542, 0.682, 0.604, 0.957, 22.138
31, 31, 27, 2601, 0.534, 0.500, 0.517, 0.957, 22.190
